都道府県名,都道府県・市区町村名,都道府県・市区町村名（英語）,市などの別,総数（人）,男（人）,女（人）,2015年（平成27年）の人口（組替）（人）,5年間の人口増減数（人）,5年間の人口増減率（％）,面積（参考）（km2）,人口密度（人/km2）,平均年齢（歳）,年齢中位数（歳）,年齢別人口（男女「総数」）15歳未満（人）,年齢別人口（男女「総数」）15～64歳（人）,年齢別人口（男女「総数」）65歳以上（人）,人口構成比［年齢別］(男女「総数」）15歳未満（％）,人口構成比［年齢別］(男女「総数」）15～64歳（％）,人口構成比［年齢別］(男女「総数」）65歳以上（％）,年齢別人口（男）15歳未満（人）,年齢別人口（男）15～64歳（人）,年齢別人口（男）65歳以上（人）,人口構成比［年齢別］(男）15歳未満（％）,人口構成比［年齢別］(男）15～64歳（％）,人口構成比［年齢別］(男）65歳以上（％）,年齢別人口（女）15歳未満（人）,年齢別人口（女）15～64歳（人）,年齢別人口（女）65歳以上（人）,人口構成比［年齢別］(女）15歳未満（％）,人口構成比［年齢別］(女）15～64歳（％）,人口構成比［年齢別］(女）65歳以上（％）,人口性比（％）,日本人（人）,外国人（人）,総世帯（世帯）,一般世帯（世帯）,施設等の世帯（世帯）,2015年（平成27年）の世帯数（組替）（世帯）,一般世帯（世帯）,核家族世帯（世帯）,夫婦のみの世帯（世帯）,夫婦と子供から成る世帯（世帯）,男親と子供から成る世帯（世帯）,女親と子供から成る世帯（世帯）,単独世帯（世帯）,65歳以上の単独世帯（世帯）,夫65歳以上，妻60歳以上の夫婦のみの世帯（世帯）,3世代世帯（世帯）
00_全国,00000_全国,Japan,a,126146099,61349581,64796518,127094745,-948646,-0.74641,377976.41,338.2,47.62779,48.50685,15031602,75087865,36026632,11.91603,59.52452,28.55945,7700036,38008577,15640968,12.55108,61.95409,25.49482,7331566,37079288,20385664,11.31475,57.2242,31.46105,94.68037,123398962,2747137,55830154,55704949,125205,53448685,55704949,30110571,11158840,13949190,738006,4264535,21151042,6716806,6533895,2337703
01_北海道,01000_北海道,Hokkaido,a,5224614,2465088,2759526,5381733,-157119,-2.91949,83424.44,66.6,49.78238,51.34284,556526,2988800,1679288,10.652,57.20614,32.14186,284897,1477750,702441,11.55728,59.94715,28.49558,271629,1511050,976847,9.84332,54.75759,35.39909,89.33012,5188441,36173,2476846,2469063,7783,2444810,2469063,1324406,584819,511571,29921,198095,999825,361735,345741,59601
01_北海道,01100_札幌市,Sapporo-shi,1,1973395,918682,1054713,1952356,21039,1.07762,1121.26,1760,47.72288,48.4914,215386,1208858,549151,10.91449,61.25778,27.82773,110206,580412,228064,11.9961,63.17877,24.82513,105180,628446,321087,9.97238,59.58455,30.44307,87.10256,1959523,13872,969161,967372,1789,921837,967372,496691,204909,204131,10175,77476,422160,121789,110890,15727
01_北海道,01101_札幌市中央区,Sapporo-shi Chuo-ku,0,248680,112853,135827,237627,11053,4.65141,46.42,5357.2,46.57555,46.77339,23869,165634,59177,9.59828,66.60528,23.79645,12161,77465,23227,10.77597,68.64239,20.58164,11708,88169,35950,8.61979,64.91272,26.46749,83.08584,246027,2653,141429,141223,206,132006,141223,54941,24467,20812,878,8784,80425,16447,11059,1111
01_北海道,01102_札幌市北区,Sapporo-shi Kita-ku,0,289323,136596,152727,285321,4002,1.40263,63.57,4551.3,46.70692,47.41898,33526,177388,78409,11.58774,61.31141,27.10085,17127,86609,32860,12.53843,63.40522,24.05634,16399,90779,45549,10.73746,59.43874,29.8238,89.43802,286191,3132,139675,139449,226,133662,139449,71323,28025,30992,1592,10714,60279,16690,15765,2573
01_北海道,01103_札幌市東区,Sapporo-shi Higashi-ku,0,265379,126023,139356,261912,3467,1.32373,56.97,4658.2,46.76447,47.22263,29912,165626,69841,11.27143,62.41112,26.31746,15190,81649,29184,12.05336,64.78897,23.15768,14722,83977,40657,10.56431,60.26077,29.17492,90.43242,263485,1894,131188,130904,284,124425,130904,65521,25570,27792,1406,10753,59006,16049,13364,2071
01_北海道,01104_札幌市白石区,Sapporo-shi Shiroishi-ku,0,211835,100062,111773,209584,2251,1.07403,34.47,6145.5,46.78105,47.11128,22500,135953,53382,10.62147,64.17872,25.1998,11604,66333,22125,11.59681,66.2919,22.11129,10896,69620,31257,9.74833,62.28696,27.96471,89.52251,210731,1104,108233,108077,156,104608,108077,51127,20556,20574,1185,8812,50965,13696,9749,1583
01_北海道,01105_札幌市豊平区,Sapporo-shi Toyohira-ku,0,225298,104154,121144,218652,6646,3.03953,46.23,4873.4,46.75146,46.83172,23438,144131,57729,10.40311,63.97349,25.6234,12019,68644,23491,11.53964,65.90625,22.5541,11419,75487,34238,9.42597,62.31179,28.26223,85.97537,223705,1593,118650,118472,178,110171,118472,55002,22942,21954,1067,9039,58441,14735,11223,1482
01_北海道,01106_札幌市南区,Sapporo-shi Minami-ku,0,135777,62347,73430,141190,-5413,-3.83384,657.48,206.5,51.68513,54.94517,13291,73736,48750,9.78884,54.30669,35.90446,6789,35154,20404,10.88906,56.38443,32.72651,6502,38582,28346,8.85469,52.54256,38.60275,84.90671,135113,664,62134,61919,215,61291,61919,36367,16217,13977,785,5388,22322,9644,10457,1370
01_北海道,01107_札幌市西区,Sapporo-shi Nishi-ku,0,217040,100027,117013,213578,3462,1.62095,75.1,2890,47.9885,48.79513,24629,131267,61144,11.34768,60.48056,28.17177,12581,62135,25311,12.5776,62.11823,25.30417,12048,69132,35833,10.29629,59.08061,30.62309,85.48366,215975,1065,103849,103655,194,97750,103655,56876,23569,23474,1114,8719,41307,13435,12441,1645
