駅名,運営会社,路線名,鉄道区分,事業者種別,重複コード2019,データ有無コード2019,備考2019,乗降客数2019
二月田,九州旅客鉄道,指宿枕崎線,11,2,1,1,,690
古島,沖縄都市モノレール,沖縄都市モノレール線,23,5,1,1,,5143
お台場海浜公園,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,16899
東京国際クルーズターミナル,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,3191
テレコムセンター,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,12140
汐留,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,8755
台場,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,21421
有明,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,5818
東京ビッグサイト,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,16690
新橋,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,63123
竹芝,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,4508
芝浦ふ頭,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,5090
日の出,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,2322
青海,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,11884
新豊洲,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,6796
市場前,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,11393
有明テニスの森,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,5022
豊洲,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,28916
新石切,近畿日本鉄道,けいはんな線,21,4,1,1,,18240
長田,近畿日本鉄道,けいはんな線,21,4,1,1,,0
吉田,近畿日本鉄道,けいはんな線,21,4,1,1,,15369
荒本,近畿日本鉄道,けいはんな線,21,4,1,1,,16277
生駒,近畿日本鉄道,けいはんな線,12,4,2,1,,0
学研奈良登美ヶ丘,近畿日本鉄道,けいはんな線,12,4,1,1,,14165
白庭台,近畿日本鉄道,けいはんな線,12,4,1,1,,9339
学研北生駒,近畿日本鉄道,けいはんな線,12,4,1,1,,6419
ポートターミナル,神戸新交通,ポートアイランド線,16,5,1,1,,835
中埠頭,神戸新交通,ポートアイランド線,16,5,1,1,,3215
市民広場,神戸新交通,ポートアイランド線,24,5,1,1,,14859
貿易センター,神戸新交通,ポートアイランド線,24,5,1,1,,3515
三宮,神戸新交通,ポートアイランド線,24,5,1,1,,73323
北埠頭,神戸新交通,ポートアイランド線,16,5,1,1,,1648
南公園,神戸新交通,ポートアイランド線,16,5,1,1,,5299
みなとじま,神戸新交通,ポートアイランド線,24,5,1,1,,16121
中公園,神戸新交通,ポートアイランド線,16,5,1,1,,8262
医療センター,神戸新交通,ポートアイランド線,24,5,1,1,,15029
京コンピュータ前,神戸新交通,ポートアイランド線,24,5,1,1,,4535
神戸空港,神戸新交通,ポートアイランド線,24,5,1,1,,7095
岩瀬浜,富山地方鉄道,富山港線,12,4,1,1,,691
競輪場前,富山地方鉄道,富山港線,12,4,1,1,,168
東岩瀬,富山地方鉄道,富山港線,12,4,1,1,,363
インテック本社前,富山地方鉄道,富山港線,21,4,1,1,,321
萩浦小学校前,富山地方鉄道,富山港線,12,4,1,1,改称,384
蓮町（馬場記念公園前）,富山地方鉄道,富山港線,12,4,1,1,改称,1074
犬島新町,富山地方鉄道,富山港線,12,4,1,1,,341
城川原,富山地方鉄道,富山港線,12,4,1,1,,675
越中中島,富山地方鉄道,富山港線,12,4,1,1,,381
粟島（大阪屋ショップ前）,富山地方鉄道,富山港線,12,4,1,1,,618
下奥井,富山地方鉄道,富山港線,12,4,1,1,,414
奥田中学校前,富山地方鉄道,富山港線,12,4,1,1,,366
富山駅,富山地方鉄道,富山港線,21,4,1,1,改称,3198
盛岡,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,12,5,1,1,,11290
御堂,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,12,5,1,1,,58
二戸,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,12,5,1,1,,694
小鳥谷,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,12,5,1,1,,98
渋民,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,12,5,1,1,,659
斗米,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,12,5,1,1,,136
いわて沼宮内,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,12,5,1,1,,850
厨川,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,12,5,1,1,,3111
岩手川口,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,12,5,1,1,,269
一戸,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,12,5,1,1,,543
金田一温泉,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,12,5,1,1,,205
滝沢,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,12,5,1,1,,3044
小繋,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,12,5,1,1,,7
奥中山高原,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,12,5,1,1,,329
目時,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,12,5,1,1,,0
好摩,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,12,5,1,1,,1764
青山,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,12,5,1,1,,3375
巣子,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,12,5,1,1,,1001
巣子,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,12,5,2,1,,0
上総中野,いすみ鉄道,いすみ線,12,5,1,1,,0
大多喜,いすみ鉄道,いすみ線,12,5,1,1,,226
東総元,いすみ鉄道,いすみ線,12,5,1,1,,3
上総中川,いすみ鉄道,いすみ線,12,5,1,1,,12
国吉,いすみ鉄道,いすみ線,12,5,1,1,,95
久我原,いすみ鉄道,いすみ線,12,5,1,1,,6
上総東,いすみ鉄道,いすみ線,12,5,1,1,,28
西畑,いすみ鉄道,いすみ線,12,5,1,1,,7
小谷松,いすみ鉄道,いすみ線,12,5,1,1,,3
総元,いすみ鉄道,いすみ線,12,5,1,1,,7
西大原,いすみ鉄道,いすみ線,12,5,1,1,,11
新田野,いすみ鉄道,いすみ線,12,5,1,1,,14
大原,いすみ鉄道,いすみ線,12,5,1,1,,281
西長田ゆりの里,えちぜん鉄道,三国芦原線,12,5,1,1,,328
鷲塚針原,えちぜん鉄道,三国芦原線,12,5,1,1,,277
西別院,えちぜん鉄道,三国芦原線,12,5,1,1,,295
中角,えちぜん鉄道,三国芦原線,12,5,1,1,,78
新田塚,えちぜん鉄道,三国芦原線,12,5,1,1,,519
番田,えちぜん鉄道,三国芦原線,12,5,1,1,,28
福井口,えちぜん鉄道,三国芦原線,12,5,1,1,,469
