市区町村コード,都道府県・市区町村名,総数（人）,男（人）,女（人）,面積（参考）（km2）,人口密度（人/km2）,平均年齢（歳）,年齢中位数（歳）,年齢別人口（男女「総数」）15歳未満（人）,年齢別人口（男女「総数」）15～64歳（人）,年齢別人口（男女「総数」）65歳以上（人）,人口構成比［年齢別］(男女「総数」）15歳未満（％）,人口構成比［年齢別］(男女「総数」）15～64歳（％）,人口構成比［年齢別］(男女「総数」）65歳以上（％）,年齢別人口（男）15歳未満（人）,年齢別人口（男）15～64歳（人）,年齢別人口（男）65歳以上（人）,人口構成比［年齢別］(男）15歳未満（％）,人口構成比［年齢別］(男）15～64歳（％）,人口構成比［年齢別］(男）65歳以上（％）,年齢別人口（女）15歳未満（人）,年齢別人口（女）15～64歳（人）,年齢別人口（女）65歳以上（人）,人口構成比［年齢別］(女）15歳未満（％）,人口構成比［年齢別］(女）15～64歳（％）,人口構成比［年齢別］(女）65歳以上（％）,人口性比（％）,日本人（人）,外国人（人）,総世帯（世帯）,一般世帯（世帯）,施設等の世帯（世帯）,核家族世帯（世帯）,夫婦のみの世帯（世帯）,夫婦と子供から成る世帯（世帯）,男親と子供から成る世帯（世帯）,女親と子供から成る世帯（世帯）,単独世帯（世帯）,65歳以上の単独世帯（世帯）,夫65歳以上，妻60歳以上の夫婦のみの世帯（世帯）,3世代世帯（世帯）
1101,札幌市中央区,248680.0,112853.0,135827.0,46.42,5357.2,46.57555,46.77339,23869.0,165634.0,59177.0,9.59828,66.60528,23.79645,12161.0,77465.0,23227.0,10.77597,68.64239,20.58164,11708.0,88169.0,35950.0,8.61979,64.91272,26.46749,83.08584,246027.0,2653.0,141429.0,141223.0,206.0,54941.0,24467.0,20812.0,878.0,8784.0,80425.0,16447.0,11059.0,1111.0
1102,札幌市北区,289323.0,136596.0,152727.0,63.57,4551.3,46.70692,47.41898,33526.0,177388.0,78409.0,11.58774,61.31141,27.10085,17127.0,86609.0,32860.0,12.53843,63.40522,24.05634,16399.0,90779.0,45549.0,10.73746,59.43874,29.8238,89.43802,286191.0,3132.0,139675.0,139449.0,226.0,71323.0,28025.0,30992.0,1592.0,10714.0,60279.0,16690.0,15765.0,2573.0
1103,札幌市東区,265379.0,126023.0,139356.0,56.97,4658.2,46.76447,47.22263,29912.0,165626.0,69841.0,11.27143,62.41112,26.31746,15190.0,81649.0,29184.0,12.05336,64.78897,23.15768,14722.0,83977.0,40657.0,10.56431,60.26077,29.17492,90.43242,263485.0,1894.0,131188.0,130904.0,284.0,65521.0,25570.0,27792.0,1406.0,10753.0,59006.0,16049.0,13364.0,2071.0
1104,札幌市白石区,211835.0,100062.0,111773.0,34.47,6145.5,46.78105,47.11128,22500.0,135953.0,53382.0,10.62147,64.17872,25.1998,11604.0,66333.0,22125.0,11.59681,66.2919,22.11129,10896.0,69620.0,31257.0,9.74833,62.28696,27.96471,89.52251,210731.0,1104.0,108233.0,108077.0,156.0,51127.0,20556.0,20574.0,1185.0,8812.0,50965.0,13696.0,9749.0,1583.0
1105,札幌市豊平区,225298.0,104154.0,121144.0,46.23,4873.4,46.75146,46.83172,23438.0,144131.0,57729.0,10.40311,63.97349,25.6234,12019.0,68644.0,23491.0,11.53964,65.90625,22.5541,11419.0,75487.0,34238.0,9.42597,62.31179,28.26223,85.97537,223705.0,1593.0,118650.0,118472.0,178.0,55002.0,22942.0,21954.0,1067.0,9039.0,58441.0,14735.0,11223.0,1482.0
1106,札幌市南区,135777.0,62347.0,73430.0,657.48,206.5,51.68513,54.94517,13291.0,73736.0,48750.0,9.78884,54.30669,35.90446,6789.0,35154.0,20404.0,10.88906,56.38443,32.72651,6502.0,38582.0,28346.0,8.85469,52.54256,38.60275,84.90671,135113.0,664.0,62134.0,61919.0,215.0,36367.0,16217.0,13977.0,785.0,5388.0,22322.0,9644.0,10457.0,1370.0
1107,札幌市西区,217040.0,100027.0,117013.0,75.1,2890.0,47.9885,48.79513,24629.0,131267.0,61144.0,11.34768,60.48056,28.17177,12581.0,62135.0,25311.0,12.5776,62.11823,25.30417,12048.0,69132.0,35833.0,10.29629,59.08061,30.62309,85.48366,215975.0,1065.0,103849.0,103655.0,194.0,56876.0,23569.0,23474.0,1114.0,8719.0,41307.0,13435.0,12441.0,1645.0
1108,札幌市厚別区,125083.0,56755.0,68328.0,24.38,5130.6,50.45361,52.78255,12724.0,71431.0,40928.0,10.17245,57.10688,32.72067,6519.0,33164.0,17072.0,11.48621,58.43362,30.08017,6205.0,38267.0,23856.0,9.0812,56.00486,34.91394,83.06258,124413.0,670.0,57289.0,57190.0,99.0,35395.0,15301.0,13722.0,712.0,5660.0,19111.0,8480.0,9271.0,1038.0
1109,札幌市手稲区,142625.0,66913.0,75712.0,56.77,2512.3,49.07648,50.73689,17219.0,80022.0,45384.0,12.07292,56.10657,31.82051,8796.0,38770.0,19347.0,13.14543,57.94091,28.91366,8423.0,41252.0,26037.0,11.12505,54.48542,34.38953,88.37833,142142.0,483.0,61080.0,60959.0,121.0,38892.0,15648.0,16832.0,782.0,5630.0,18678.0,7424.0,9728.0,1612.0
1110,札幌市清田区,112355.0,52952.0,59403.0,59.87,1876.6,48.80621,51.12081,14278.0,63670.0,34407.0,12.70793,56.6686,30.62347,7420.0,30489.0,15043.0,14.01269,57.57856,28.40875,6858.0,33181.0,19364.0,11.54487,55.85745,32.59768,89.14028,111741.0,614.0,45634.0,45524.0,110.0,31247.0,12614.0,14002.0,654.0,3977.0,11626.0,5189.0,7833.0,1242.0
