駅名,鉄道区分,事業者種別,重複コード2019,データ有無コード2019,乗降客数2019
あざみ野,24,7,2,2,216163
いわて沼宮内,23,6,2,2,1016
こどもの国,24,8,2,2,11611
すすきの,37,6,2,2,38950
ときわ台,24,8,2,2,50099
ナゴヤドーム前矢田,36,8,2,2,26760
ユーカリが丘,28,8,2,2,23106
一本松,23,6,2,2,5085
万博記念公園,35,10,2,2,27236
三国,24,9,2,2,26141
三国ヶ丘,23,6,2,2,89066
三宮,36,8,2,2,196607
三島,23,6,2,2,78142
三本松,23,6,2,2,1517
三条,44,10,3,3,44848
三沢,24,9,2,2,4430
三河安城,22,3,2,2,16002
三田,35,9,3,3,272791
三谷,23,7,2,2,115
三軒茶屋,33,8,2,2,179069
三郷,34,8,3,3,43210
上大岡,24,7,2,2,217258
上熊本,44,9,3,3,8461
上田,35,10,3,3,18720
上越妙高,22,6,2,2,6182
上道,22,4,2,2,680
上郡,23,7,2,2,6249
上野,23,6,2,2,586612
下北沢,24,8,2,2,237319
下山,23,7,2,2,198
下島,23,6,2,2,535
下松,22,4,2,2,12384
下高井戸,33,8,2,2,64731
両国,23,5,2,2,115790
中井,24,7,2,2,55114
中央林間,24,8,2,2,206208
中山,44,10,3,3,115283
中島,23,7,2,2,7574
中延,24,7,2,2,56450
中津,44,9,3,3,57957
中田,23,5,2,2,18970
中百舌鳥,33,7,2,2,100593
中野,35,11,3,3,301870
中野坂上,24,7,2,2,119753
丸の内,33,7,2,2,40139
丸山,40,14,3,3,3872
久保田,23,7,2,2,1290
久喜,23,6,2,2,123570
久慈,23,7,2,2,1047
九条,57,14,4,4,48439
九段下,24,7,2,2,292436
亀山,23,6,2,2,6455
亀戸,23,6,2,2,143553
二戸,23,6,2,2,2270
二条,23,5,2,2,48028
二軒茶屋,33,7,2,2,2161
五反田,35,9,3,3,468629
五条,23,5,2,2,17405
井原,33,9,2,2,1923
井口,24,8,2,2,2291
井野,27,6,2,2,4696
京橋,56,13,4,4,512151
京都,46,10,4,4,675559
人形町,24,7,2,2,136309
今池,45,11,3,3,49615
今泉,23,7,2,2,611
今津,24,8,2,2,58014
今里,33,7,2,2,33902
仙台,23,5,2,2,342422
代々木,23,5,2,2,179242
伊丹,23,6,2,2,73166
伊勢崎,23,6,2,2,19165
伊賀神戸,24,9,2,2,6851
伊野,32,7,2,2,1361
伏見,24,7,2,2,107282
住吉,113,26,7,7,210129
佐世保,23,7,2,2,9032
佐野,23,6,2,2,10538
保田,23,7,2,2,514
元山,24,8,2,2,19075
元町,39,9,3,3,120059
光風台,24,8,2,2,3778
八丁堀,65,14,4,4,203259
八代,23,7,2,2,4539
八坂,24,9,2,2,6177
八幡,44,10,3,3,17815
八幡前,24,8,2,2,2108
八田,23,5,2,2,18509
八草,37,10,2,2,14111
六地蔵,35,9,3,3,37586
六本木,24,7,2,2,231703
六軒,23,6,2,2,2809
出水,23,6,2,2,2496
出町柳,24,8,2,2,49108
分倍河原,23,6,2,2,177691
刈谷,23,6,2,2,101711
別府,35,9,3,3,30946
加太,23,6,2,2,756
加茂,34,8,3,3,10132
勝川,23,6,2,2,35680
北仙台,23,5,2,2,26476
北千住,47,15,4,4,1294209
北山,56,15,4,4,19654
北河内,23,7,2,2,69
北浜,33,7,2,2,101613
北習志野,24,9,2,2,86446
北野,24,8,2,2,24530
十川,23,6,2,2,28
十日市場,23,6,2,2,41730
十日市町,42,8,2,2,5538
十日町,23,7,2,2,2474
十条,35,9,3,3,87866
千歳町,42,7,2,2,3762
千種,23,5,2,2,108103
千葉,33,7,2,2,243042
千葉みなと,33,7,2,2,51028
千里,23,6,2,2,3287
千里中央,35,10,2,2,133119
南千住,35,11,3,3,78285
南桜井,24,8,2,2,20906
南流山,23,7,2,2,145008
南茨木,35,9,2,2,71193
博多,34,6,3,3,460926
卸町,24,8,2,2,10070
原,35,9,3,3,25127
原田,23,7,2,2,7766
取手,23,6,2,2,66691
古市,47,11,3,3,25519
古見,23,6,2,2,3557
吉井,24,9,2,2,471
吉原,23,6,2,2,8452
吉富,22,4,2,2,1708
吉浜,24,9,2,2,3248
吉田,32,6,2,2,18349
吉祥寺,23,6,2,2,434271
吉野,23,6,2,2,1714
名古屋,35,10,3,3,864594
名和,23,6,2,2,5784
向原,32,5,2,2,1868
吹上,23,5,2,2,33322
吹田,23,6,2,2,60814
呉服町,33,6,2,2,9200
味美,24,8,2,2,5238
和歌山,23,6,2,2,40862
和歌山市,23,6,2,2,20795
和田岬,23,5,2,2,31100
和白,23,6,2,2,5542
品川,34,7,3,3,1131514
喜多山,23,6,2,2,6342
四ツ谷,23,6,2,2,324670
国分,22,4,2,2,6792
国分寺,23,6,2,2,344532
国府,44,9,3,3,11351
国見,23,7,2,2,6465
国際センター,24,6,2,2,19122
土橋,45,12,3,3,16609
城下,33,8,2,2,2281
城野,34,7,2,2,11174
基山,23,7,2,2,8591
堀田,24,7,2,2,29779
塚口,23,6,2,2,71277
塩屋,23,6,2,2,13405
多摩動物公園,35,9,2,2,8381
多田,24,8,2,2,7422
大久保,45,10,4,4,122947
大井町,35,11,3,3,443295
大倉山,24,7,2,2,67140
大原,59,17,4,4,6309
大和,24,8,2,2,234796
大和田,36,12,3,3,38546
大垣,23,6,2,2,42126
大塚,35,7,2,2,119505
大学前,24,8,2,2,801
大宮,51,15,4,4,727302
大山寺,25,8,2,2,2076
大島,24,8,2,2,34119
大手町,36,11,3,3,479505
大日,44,8,2,2,48665
大曽根,59,14,4,4,145959
大月,23,6,2,2,13862
大村,23,6,2,2,5530
大桑,23,6,2,2,302
大森,23,7,2,2,193995
大橋,33,8,2,2,40702
大正,44,9,3,3,62521
大江,24,9,2,2,5803
大河原,22,4,2,2,6764
大泉,36,13,3,3,1202
大牟田,23,6,2,2,13695
大町,101,23,6,6,21200
大船,25,6,2,2,227526
大谷,32,6,2,2,527
大門,35,10,3,3,258668
大阪梅田,24,8,2,2,682619
天下茶屋,33,7,2,2,149866
天満橋,33,7,2,2,135792
天王寺,32,5,2,2,556738
天王洲アイル,27,9,2,2,76333
天理,23,6,2,2,14994
天空橋,27,8,2,2,33849
太田,24,8,2,2,16278
好摩,23,7,2,2,2806
学園前,40,11,3,3,76892
宇治,23,6,2,2,22636
守山,35,7,2,2,35501
守谷,24,9,2,2,64638
安田,23,7,2,2,827
宝塚,23,6,2,2,104735
宝町,33,7,2,2,34782
宮内,35,11,3,3,4331
富士見町,25,6,2,2,4452
富山,22,6,2,2,40386
富山駅,42,8,2,2,8543
富田,23,6,2,2,18907
寺田,24,8,2,2,9051
小倉,57,12,4,4,129570
小川,23,6,2,2,32185
小川町,24,7,2,2,85514
小杉,23,9,2,2,6837
小林,34,8,3,3,19481
小柳,24,9,2,2,1101
小泉町,33,8,2,2,724
小田,23,7,2,2,250
小田原,46,11,4,4,169567
小野,58,15,5,5,16130
尼崎,23,6,2,2,144884
山ノ内,32,6,2,2,1030
山下,44,10,3,3,17019
山口,23,7,2,2,5343
山崎,23,6,2,2,12925
山本,23,6,2,2,17512
山王,24,9,2,2,7384
山田,59,18,4,4,48083
山科,23,5,2,2,114589
岡本,35,10,3,3,34264
岡田,24,8,2,2,1502
岩倉,35,10,3,3,25812
島田,22,4,2,2,12118
嵐山,33,8,2,2,13936
川内,35,10,3,3,12945
川村,36,10,2,2,1001
川西,23,6,2,2,4786
川越,23,6,2,2,201598
巣鴨,23,5,2,2,248965
市ヶ谷,35,9,3,3,378147
市場,35,11,3,3,586
市役所前,151,31,8,8,13723
市立病院前,44,8,2,2,2945
常盤,44,11,3,3,2086
平井,23,6,2,2,68339
平和台,24,8,2,2,47003
平田,47,16,4,4,3349
平野,56,13,4,4,51302
広小路,33,10,2,2,253
広野,22,4,2,2,3188
府中,47,12,4,4,93143
弁天町,32,5,2,2,109122
弘前,23,6,2,2,10369
弘明寺,24,7,2,2,49941
彦根,23,6,2,2,22358
後免町,33,10,2,2,1165
御厨,23,7,2,2,287
御影,24,8,2,2,44061
御茶ノ水,23,6,2,2,271061
徳田,23,7,2,2,719
恵比寿,23,6,2,2,413194
恵美須町,42,7,2,2,22117
恵那,23,7,2,2,6991
愛野,23,6,2,2,7116
成田空港,23,6,2,2,42547
戸塚,23,5,2,2,314048
戸田,34,8,3,3,46853
押上（スカイツリー前）,36,12,3,3,538618
拝島,23,6,2,2,97177
掛川,23,7,2,2,24450
新井,22,7,2,2,2186
新今宮,23,6,2,2,230179
新大阪,43,6,3,3,449455
新宿,47,14,4,4,3265570
新宿三丁目,24,7,2,2,239823
新富町,33,8,2,2,44253
新屋,23,6,2,2,2022
新川,56,14,4,4,7802
新川町,33,7,2,2,1669
新御徒町,24,8,2,2,104512
新所原,23,7,2,2,8917
新木,32,7,2,2,6176
新木場,35,11,3,3,335513
新杉田,35,7,2,2,108932
新栄町,24,7,2,2,34410
新横浜,34,6,3,3,269903
新橋,59,14,4,4,974351
新水俣,23,6,2,2,1163
新田,35,11,3,3,37890
新町,32,5,2,2,8315
新白島,35,7,2,2,36984
新神戸,23,4,2,2,65622
新郷,23,6,2,2,317
新里,24,8,2,2,405
新野,22,4,2,2,1248
新鎌ヶ谷,36,13,3,3,99299
新長田,23,5,2,2,104724
新高岡,22,3,2,2,8164
日吉,35,9,3,3,291733
日暮里,47,9,3,3,388107
日本橋,45,10,3,3,379947
日比谷,24,7,2,2,212430
日比野,24,7,2,2,22508
日進,23,6,2,2,37802
日野,35,10,3,3,55357
早稲田,33,7,2,2,84463
旭,22,4,2,2,4946
旭ヶ丘,33,8,2,2,14425
明智,24,9,2,2,1239
星ヶ丘,24,7,2,2,56827
星川,24,8,2,2,29852
春日,23,5,2,2,141259
春日井,23,6,2,2,34781
春日野道,24,8,2,2,26829
昭和町,32,5,2,2,25395
智頭,23,7,2,2,2669
曽根,23,6,2,2,32189
月島,24,7,2,2,152577
有明,35,7,2,2,6338
有楽町,23,6,2,2,523003
朝倉,44,11,3,3,9689
木古内,23,6,2,2,224
木幡,35,10,3,3,11146
木津,23,6,2,2,10967
末広町,54,12,3,3,27359
本八幡,23,5,2,2,201492
本宮,23,6,2,2,3625
本宿,24,9,2,2,6459
本山,35,10,3,3,32183
本町六丁目,33,8,2,2,1962
本通,37,9,2,2,31716
本郷,47,13,4,4,28555
本郷三丁目,24,7,2,2,78941
村上,23,7,2,2,9224
村山,23,6,2,2,2733
東中野,23,5,2,2,110122
東京,34,7,3,3,1339555
東山,24,7,2,2,23822
東山公園,23,5,2,2,16658
東川口,23,7,2,2,106546
東新宿,24,7,2,2,85761
東新川,23,6,2,2,969
東松戸,23,7,2,2,60744
東松江,23,6,2,2,1107
東福寺,23,6,2,2,37106
東野,24,8,2,2,12166
東銀座,24,7,2,2,178581
東雲,24,10,2,2,14689
東飯能,23,6,2,2,17007
松ヶ崎,24,7,2,2,12548
松尾,35,10,3,3,2039
松山,23,7,2,2,13777
松崎,23,7,2,2,746
松戸,23,6,2,2,305522
板宿,24,7,2,2,43751
枝川,32,7,2,2,875
柏,23,6,2,2,400105
柏原,33,6,3,3,30421
柚木,23,6,2,2,4065
柳原,23,6,2,2,1459
柳津,23,6,2,2,4285
栃木,23,6,2,2,21547
栄,36,12,3,3,221691
栄町,83,19,5,5,59984
栗橋,23,6,2,2,36704
桂川,22,4,2,2,35470
桜,24,8,2,2,7345
桜井,47,14,4,4,35409
桜台,24,8,2,2,16839
桜川,45,11,3,3,21691
桜木,34,10,2,2,3903
桜木町,23,5,2,2,181551
桜橋,33,8,2,2,5278
桜沢,24,8,2,2,1025
桜町,32,6,2,2,1889
梅屋敷,25,8,2,2,16530
梅林,23,5,2,2,5996
森,23,6,2,2,1290
森ノ宮,32,5,2,2,83397
森下,36,11,3,3,154773
森林公園,23,6,2,2,22602
植田,35,9,3,3,21946
榎戸,23,6,2,2,5924
槻木,23,7,2,2,6635
横倉,23,7,2,2,52
横山,23,6,2,2,4462
横川,22,4,2,2,34470
横浜,59,17,5,5,2101709
橋本,70,19,6,6,256051
武蔵境,23,6,2,2,168824
武蔵小杉,23,6,2,2,484760
比良,23,6,2,2,3336
水道橋,23,5,2,2,214462
永田,23,6,2,2,2476
汐留,36,8,2,2,62489
江南,23,6,2,2,27074
池田,35,10,3,3,46679
池袋,47,14,4,4,2662632
河内長野,24,8,2,2,38730
河原町,33,6,2,2,11157
泉,23,6,2,2,5305
泊,34,12,3,3,2530
流山おおたかの森,24,9,2,2,138714
浅草,48,16,4,4,233027
浅草橋,23,5,2,2,170502
浦安,23,6,2,2,83424
海老名,35,10,3,3,303837
淀屋橋,33,7,2,2,326279
清水,44,9,3,3,28896
清澄白河,24,7,2,2,102498
清音,23,7,2,2,4782
渋谷,47,14,4,4,2704384
渚,23,6,2,2,156
湘南台,36,11,3,3,168796
滑川,23,9,2,2,3243
熊谷,23,6,2,2,72024
熊野前,45,6,2,2,13600
熱海,22,3,2,2,30885
片原町,33,9,2,2,5431
牛田,48,13,3,3,29841
牧,23,7,2,2,1470
玉川上水,35,9,2,2,67112
玉造,32,5,2,2,48710
王子,23,6,2,2,193065
王寺,23,6,2,2,57808
球場前,24,10,2,2,564
琴似,27,5,2,2,51634
瓢箪山,24,8,2,2,26390
甘木,24,9,2,2,1933
田原町,24,9,2,2,36899
田川伊田,23,7,2,2,2099
田町,32,6,2,2,312903
田野,23,7,2,2,1091
町屋,24,8,2,2,83797
町田,23,6,2,2,514499
登戸,23,6,2,2,333115
白山,35,9,3,3,62110
白島,45,9,2,2,4562
白石,38,7,3,3,50946
的場町,42,8,2,2,2754
皆実町六丁目,42,8,2,2,4720
盛岡,23,7,2,2,47178
目黒,23,6,2,2,517265
直方,23,7,2,2,8238
相生,23,7,2,2,8777
県庁前,144,31,7,7,45020
矢田,24,8,2,2,10732
石井,23,7,2,2,1845
石原,23,6,2,2,1935
石橋,32,6,2,2,11808
石津,33,8,2,2,814
石田,23,5,2,2,7763
砂田橋,36,8,2,2,17508
磯部,23,6,2,2,2264
神保町,24,7,2,2,384601
神前,23,6,2,2,1443
神戸,35,11,3,3,145451
神戸三宮,24,8,2,2,218961
神田,35,11,3,3,274582
神辺,23,7,2,2,3339
福井,35,12,3,3,27505
福島,58,17,5,5,112689
福知山,23,7,2,2,8025
福野,23,7,2,2,1539
秋葉原,35,11,3,3,767662
稲荷町,45,12,3,3,21690
穴太,33,8,2,2,1444
穴川,34,9,2,2,3776
空港第2ビル,23,6,2,2,41520
立山,25,8,2,2,4039
競輪場前,33,8,2,2,1021
競馬場前,44,8,2,2,4739
竹田,23,5,2,2,31289
筒井,24,9,2,2,9381
篠原,44,12,3,3,4783
米原,34,7,3,3,24787
粟津,32,6,2,2,3810
粟生,23,6,2,2,4017
糸魚川,22,6,2,2,2344
細谷,24,9,2,2,2783
総社,23,7,2,2,7214
緑が丘,24,8,2,2,13050
練馬,24,7,2,2,216276
美濃太田,23,7,2,2,6542
羽場,23,6,2,2,1445
羽後本荘,23,7,2,2,2414
羽生,24,8,2,2,18373
羽田空港第3ターミナル,27,8,2,2,39772
船岡,22,4,2,2,6750
船橋,23,6,2,2,392768
船津,23,6,2,2,349
芦屋,23,6,2,2,83812
花園,23,6,2,2,9007
若林,33,8,2,2,15359
茶山,24,7,2,2,6842
草津,23,6,2,2,62275
草薙,23,6,2,2,29595
荒井,24,7,2,2,15804
荒尾,22,4,2,2,2850
荻窪,23,6,2,2,274856
菊名,23,6,2,2,245108
菊川,23,5,2,2,34054
萩原,24,8,2,2,3537
蒲池,24,8,2,2,1543
蒲田,23,6,2,2,461510
蒲郡,23,6,2,2,18145
蔵前,24,6,2,2,73606
薬師堂,24,8,2,2,11400
薬院,24,7,2,2,62280
藤が丘,49,12,3,3,108367
藤沢,35,10,3,3,407865
蛍池,35,9,2,2,70909
行橋,23,7,2,2,13150
西九条,23,6,2,2,100000
西原,35,7,2,2,7763
西宮,23,6,2,2,89499
西日暮里,47,9,3,3,401216
西条,22,4,2,2,19374
西舞鶴,23,7,2,2,3174
西船橋,23,6,2,2,693803
西院,33,8,2,2,45659
観音寺,23,6,2,2,4962
観音町,33,9,2,2,2358
角館,23,7,2,2,1392
谷山,32,5,2,2,11163
豊岡,35,12,3,3,3761
豊島園,24,7,2,2,26671
豊川,34,7,2,2,9590
豊津,24,9,2,2,13221
豊洲,36,9,2,2,256759
貝塚,48,15,4,4,63756
貴生川,23,6,2,2,10141
赤坂,48,15,4,4,131394
赤池,36,13,3,3,28198
赤湯,23,7,2,2,2810
足柄,23,6,2,2,4792
軽井沢,23,6,2,2,11041
近江八幡,23,6,2,2,38118
追分,55,13,4,4,5878
運動公園前,33,8,2,2,990
郡元,32,5,2,2,9069
郡山,22,4,2,2,46618
都賀,33,7,2,2,54342
野々市,23,6,2,2,4104
野崎,22,4,2,2,24696
野田,23,6,2,2,58313
金山,47,12,4,4,484739
金沢八景,36,9,2,2,75632
金谷,23,6,2,2,4436
釜石,23,7,2,2,673
錦糸町,23,6,2,2,321474
鎌倉,23,6,2,2,115478
長原,33,7,2,2,27115
長尾,23,6,2,2,23876
長居,32,5,2,2,44545
長崎,32,7,2,2,19497
長沼,24,8,2,2,6567
長津田,23,6,2,2,263203
長浦,23,6,2,2,13256
長田,45,10,3,3,39096
長町,23,5,2,2,36554
長谷,23,6,2,2,9310
長野,23,6,2,2,52379
門前仲町,24,7,2,2,206724
門真市,35,9,2,2,47381
関,23,7,2,2,799
関内,23,5,2,2,158000
